 279  3       Forsking, søknader og finansieringskjelder [8482272392383450175, article]
 280  3       Informasjon om instituttet [2421663188456636001, article]
 281  3       Innkjøp og betalingar [2171788654137374576, article]
 282  3       IT og telefon [2421663188456636010, article]
 283  3       Løn, honorar, tilsetjing, avgang, mellombelse tilsetjingar [8441573281619436150, article]
 284  3       Masterstudiet [2838732313473210706, article]
 285  3       Praktisk informasjon [3708183890779586438, article]
 286  3       Reiser [2171788654137374558, article]
 287  3       Representasjon [280805279684707036, article]
 288  3       Sensur og evaluering [8704016986286237772, article]
 289  3       Stipendiatar [8704016986286237763, article]
 290  1   Kontakt [2222408865105943044, navigationpage]
 291  2     Kontaktinformasjon [1046889205394614268, article]
 292  2     Ansattkatalog [8917329216099663884, displaylisting imported]
 293  2     Studieveiledning ved Institutt for fremmedspråk [6596397125281763581, article]
 294  2     Kart [3187524477214188259, kart]

Counter({'article': 222, 'navigationpage': 53, 'Studieprogramlister': 3, 'kart': 1, 'institutt': 1, 'displaylisting': 1, 'enhet': 1})
max depth 5
